Name,Label,Canton_name
Aadorf,9,Winterthur
Aarau,21,Zürich
Aarberg,5,Bern
Aarburg,21,Zürich
Aarwangen,6,Solothurn
Abtwil,3,Luzern
Aclens,20,Lausanne
Acquarossa,25,Lugano
Adelboden,7,Sion
Adligenswil,3,Luzern
Adlikon,9,Winterthur
Adliswil,9,Winterthur
Aedermannsdorf,6,Solothurn
Aefligen,5,Bern
Aegerten,5,Bern
Aesch (BL),2,Allschwil
Aesch (LU),3,Luzern
Aesch (ZH),9,Winterthur
Aeschi (SO),6,Solothurn
Aeschi bei Spiez,5,Bern
Aeugst am Albis,9,Winterthur
Affeltrangen,19,Wil (SG)
Affoltern am Albis,9,Winterthur
Affoltern im Emmental,5,Bern
Agarn,7,Sion
Agiez,20,Lausanne
Agno,25,Lugano
Aigle,20,Lausanne
Aire-la-Ville,8,Genève
Airolo,25,Lugano
Alberswil,3,Luzern
Albinen,7,Sion
Albula/Alvra,11,Chur
Alchenstorf,6,Solothurn
Allaman,20,Lausanne
Alle,14,Delémont
Allmendingen,5,Bern
Allschwil,2,Allschwil
Alpnach,3,Luzern
Alpthal,22,Einsiedeln
Altbüron,3,Luzern
Altdorf (UR),12,Altdorf (UR)
Altendorf,22,Einsiedeln
Alterswil,17,Fribourg
Altikon,9,Winterthur
Altishofen,3,Luzern
Altnau,19,Wil (SG)
Alto Malcantone,25,Lugano
Altstätten,15,Gossau (SG)
Altwis,3,Luzern
Amden,15,Gossau (SG)
Amlikon-Bissegg,19,Wil (SG)
Ammerswil,21,Zürich
Amriswil,19,Wil (SG)
Amsoldingen,5,Bern
Andeer,11,Chur
Andelfingen,9,Winterthur
Andermatt,25,Lugano
Andiast,15,Gossau (SG)
Andwil (SG),15,Gossau (SG)
Anières,8,Genève
Anniviers,7,Sion
Anwil,21,Zürich
Appenzell,1,Appenzell
Apples,20,Lausanne
Aranno,25,Lugano
Arbaz,7,Sion
Arbedo-Castione,25,Lugano
Arboldswil,2,Allschwil
Arbon,19,Wil (SG)
Arch,5,Bern
Arconciel,17,Fribourg
Ardon,7,Sion
Arisdorf,2,Allschwil
Aristau,3,Luzern
Arlesheim,16,Basel
Arnex-sur-Nyon,20,Lausanne
Arnex-sur-Orbe,20,Lausanne
Arni (AG),9,Winterthur
Arni (BE),5,Bern
Arogno,25,Lugano
Arosa,11,Chur
Arth,13,Zug
Arzier-Le Muids,20,Lausanne
Ascona,25,Lugano
Assens,20,Lausanne
Astano,25,Lugano
Attalens,20,Lausanne
Attelwil,21,Zürich
Attinghausen,12,Altdorf (UR)
Attiswil,6,Solothurn
Au (SG),0,St. Gallen
Aubonne,20,Lausanne
Auboranges,20,Lausanne
Auenstein,21,Zürich
Augst,2,Allschwil
Ausserberg,7,Sion
Auswil,5,Bern
Autafond,17,Fribourg
Autigny,17,Fribourg
Auw,3,Luzern
Avegno Gordevio,25,Lugano
Avenches,17,Fribourg
Avers,11,Chur
Avry,17,Fribourg
Avully,8,Genève
Avusy,8,Genève
Ayent,7,Sion
Baar,9,Winterthur
Bachenbülach,9,Winterthur
Bachs,21,Zürich
Bad Ragaz,15,Gossau (SG)
Bad Zurzach,21,Zürich
Baden,21,Zürich
Bagnes,7,Sion
Baldingen,21,Zürich
Balerna,25,Lugano
Balgach,0,St. Gallen
Ballaigues,20,Lausanne
Ballens,20,Lausanne
Ballwil,3,Luzern
Balm bei Günsberg,6,Solothurn
Balsthal,6,Solothurn
Baltschieder,7,Sion
Bangerten,5,Bern
Bannwil,6,Solothurn
Barberêche,17,Fribourg
Bardonnex,8,Genève
Bargen (BE),5,Bern
Bargen (SH),18,Schaffhausen
Bas-Intyamon,17,Fribourg
Bas-Vully,17,Fribourg
Basadingen-Schlattingen,9,Winterthur
Basel,16,Basel
Basse-Allaine,14,Delémont
Bassersdorf,9,Winterthur
Bassins,20,Lausanne
Bauen,12,Altdorf (UR)
Baulmes,20,Lausanne
Bauma,9,Winterthur
Bavois,20,Lausanne
Beatenberg,5,Bern
Beckenried,12,Altdorf (UR)
Bedano,25,Lugano
Bedigliora,25,Lugano
Bedretto,12,Altdorf (UR)
Beggingen,18,Schaffhausen
Begnins,20,Lausanne
Beinwil (Freiamt),3,Luzern
Beinwil (SO),2,Allschwil
Beinwil am See,3,Luzern
Belfaux,17,Fribourg
Bellach,5,Bern
Bellevue,8,Genève
Bellikon,21,Zürich
Bellinzona,25,Lugano
Bellmund,5,Bern
Bellwald,7,Sion
Belmont-sur-Lausanne,20,Lausanne
Belmont-sur-Yverdon,20,Lausanne
Belp,5,Bern
Belprahon,14,Delémont
Benken (SG),15,Gossau (SG)
Benken (ZH),9,Winterthur
Bennwil,6,Solothurn
Bercher,20,Lausanne
Berg (SG),19,Wil (SG)
Berg (TG),19,Wil (SG)
Berg am Irchel,9,Winterthur
Bergdietikon,9,Winterthur
Bergün/Bravuogn,11,Chur
Berikon,9,Winterthur
Beringen,18,Schaffhausen
Berken,5,Bern
Berlingen,19,Wil (SG)
Bern,5,Bern
Berneck,0,St. Gallen
Bernex,8,Genève
Berolle,20,Lausanne
Beromünster,3,Luzern
Besenbüren,9,Winterthur
Bettenhausen,6,Solothurn
Bettens,20,Lausanne
Bettingen,16,Basel
Bettlach,5,Bern
Bettmeralp,7,Sion
Bettwiesen,19,Wil (SG)
Bettwil,3,Luzern
Beurnevésin,14,Delémont
Bevaix,23,La Chaux-de-Fonds
Bever,11,Chur
Bex,20,Lausanne
Biasca,25,Lugano
Biberist,6,Solothurn
Biberstein,21,Zürich
Bichelsee-Balterswil,19,Wil (SG)
Biel-Benken,2,Allschwil
Biel/Bienne,5,Bern
Biezwil,5,Bern
Biglen,5,Bern
Billens-Hennens,17,Fribourg
Binn,7,Sion
Binningen,2,Allschwil
Bioggio,25,Lugano
Bioley-Magnoux,20,Lausanne
Bioley-Orjulaz,20,Lausanne
Birmensdorf (ZH),21,Zürich
Birmenstorf (AG),21,Zürich
Birr,21,Zürich
Birrhard,21,Zürich
Birrwil,3,Luzern
Birsfelden,16,Basel
Birwinken,19,Wil (SG)
Bischofszell,19,Wil (SG)
Bissone,25,Lugano
Bister,7,Sion
Bitsch,7,Sion
Bivio,11,Chur
Bière,20,Lausanne
Blatten,7,Sion
Blauen,2,Allschwil
Bleienbach,5,Bern
Blenio,11,Chur
Blitzingen,7,Sion
Blonay,20,Lausanne
Blumenstein,5,Bern
Bodio,25,Lugano
Bofflens,20,Lausanne
Bogis-Bossey,20,Lausanne
Bolken,6,Solothurn
Bolligen,5,Bern
Boltigen,5,Bern
Bonaduz,11,Chur
Boncourt,14,Delémont
Bonfol,14,Delémont
Boningen,21,Zürich
Boniswil,21,Zürich
Bonstetten,9,Winterthur
Bonvillars,23,La Chaux-de-Fonds
Boppelsen,21,Zürich
Borex,20,Lausanne
Bosco/Gurin,25,Lugano
Bossonnens,20,Lausanne
Boswil,9,Winterthur
Bottens,20,Lausanne
Bottenwil,21,Zürich
Botterens,17,Fribourg
Bottighofen,19,Wil (SG)
Bottmingen,16,Basel
Boudry,23,La Chaux-de-Fonds
Bougy-Villars,20,Lausanne
Boulens,20,Lausanne
Bourg-Saint-Pierre,7,Sion
Bourg-en-Lavaux,20,Lausanne
Bournens,20,Lausanne
Bourrignon,14,Delémont
Boussens,20,Lausanne
Bovernier,7,Sion
Bowil,5,Bern
Boécourt,14,Delémont
Braunau,19,Wil (SG)
Bregaglia,11,Chur
Breggia,25,Lugano
Breil/Brigels,15,Gossau (SG)
Breitenbach,2,Allschwil
Bremblens,20,Lausanne
Bremgarten (AG),9,Winterthur
Bremgarten bei Bern,5,Bern
Brenles,20,Lausanne
Brenzikofen,5,Bern
Bretigny-sur-Morrens,20,Lausanne
Bretonnières,20,Lausanne
Bretzwil,2,Allschwil
Brienz (BE),10,Kriens
Brienzwiler,12,Altdorf (UR)
Brig-Glis,7,Sion
Brione (Verzasca),25,Lugano
Brione sopra Minusio,25,Lugano
Brislach,2,Allschwil
Brissago,25,Lugano
Brittnau,21,Zürich
Broc,17,Fribourg
Brot-Dessous,23,La Chaux-de-Fonds
Brot-Plamboz,23,La Chaux-de-Fonds
Brugg,21,Zürich
Brunegg,21,Zürich
Brusino Arsizio,25,Lugano
Brusio,11,Chur
Brügg,5,Bern
Brünisried,17,Fribourg
Brüttelen,5,Bern
Brütten,9,Winterthur
Bubendorf,2,Allschwil
Bubikon,9,Winterthur
Buch (SH),18,Schaffhausen
Buch am Irchel,9,Winterthur
Buchberg,9,Winterthur
