Name,Label,Canton_name
Aadorf,9,Zürich
Aarau,21,Aarau
Aarberg,5,Bern
Aarburg,6,Solothurn
Aarwangen,6,Solothurn
Abtwil,3,Luzern
Aclens,20,Lausanne
Acquarossa,25,Lugano
Adelboden,5,Bern
Adligenswil,3,Luzern
Adlikon,9,Zürich
Adliswil,9,Zürich
Aedermannsdorf,6,Solothurn
Aefligen,5,Bern
Aegerten,5,Bern
Aesch (BL),2,Basel
Aesch (LU),3,Luzern
Aesch (ZH),9,Zürich
Aeschi (SO),5,Bern
Aeschi bei Spiez,5,Bern
Aeugst am Albis,9,Zürich
Affeltrangen,19,Wil (SG)
Affoltern am Albis,9,Zürich
Affoltern im Emmental,5,Bern
Agarn,7,Sion
Agiez,20,Lausanne
Agno,25,Lugano
Aigle,20,Lausanne
Aire-la-Ville,8,Genève
Airolo,12,Altdorf (UR)
Alberswil,3,Luzern
Albinen,7,Sion
Albula/Alvra,11,Chur
Alchenstorf,5,Bern
Allaman,20,Lausanne
Alle,14,Delémont
Allmendingen,5,Bern
Allschwil,2,Basel
Alpnach,3,Luzern
Alpthal,22,Schwyz
Altbüron,3,Luzern
Altdorf (UR),12,Altdorf (UR)
Altendorf,15,St. Gallen
Alterswil,17,Fribourg
Altikon,9,Zürich
Altishofen,3,Luzern
Altnau,19,Wil (SG)
Alto Malcantone,25,Lugano
Altstätten,15,St. Gallen
Altwis,3,Luzern
Amden,15,St. Gallen
Amlikon-Bissegg,19,Wil (SG)
Ammerswil,21,Aarau
Amriswil,19,Wil (SG)
Amsoldingen,5,Bern
Andeer,11,Chur
Andelfingen,9,Zürich
Andermatt,12,Altdorf (UR)
Andiast,11,Chur
Andwil (SG),19,Wil (SG)
Anières,8,Genève
Anniviers,7,Sion
Anwil,21,Aarau
Appenzell,15,St. Gallen
Apples,20,Lausanne
Aranno,25,Lugano
Arbaz,7,Sion
Arbedo-Castione,25,Lugano
Arboldswil,2,Basel
Arbon,19,Wil (SG)
Arch,5,Bern
Arconciel,17,Fribourg
Ardon,7,Sion
Arisdorf,2,Basel
Aristau,21,Aarau
Arlesheim,2,Basel
Arnex-sur-Nyon,20,Lausanne
Arnex-sur-Orbe,20,Lausanne
Arni (AG),21,Aarau
Arni (BE),5,Bern
Arogno,25,Lugano
Arosa,11,Chur
Arth,22,Schwyz
Arzier-Le Muids,20,Lausanne
Ascona,25,Lugano
Assens,20,Lausanne
Astano,25,Lugano
Attalens,17,Fribourg
Attelwil,21,Aarau
Attinghausen,12,Altdorf (UR)
Attiswil,6,Solothurn
Au (SG),15,St. Gallen
Aubonne,20,Lausanne
Auboranges,20,Lausanne
Auenstein,21,Aarau
Augst,2,Basel
Ausserberg,7,Sion
Auswil,5,Bern
Autafond,17,Fribourg
Autigny,17,Fribourg
Auw,3,Luzern
Avegno Gordevio,25,Lugano
Avenches,17,Fribourg
Avers,11,Chur
Avry,17,Fribourg
Avully,8,Genève
Avusy,8,Genève
Ayent,7,Sion
Baar,9,Zürich
Bachenbülach,9,Zürich
Bachs,9,Zürich
Bad Ragaz,11,Chur
Bad Zurzach,21,Aarau
Baden,21,Aarau
Bagnes,7,Sion
Baldingen,21,Aarau
Balerna,25,Lugano
Balgach,15,St. Gallen
Ballaigues,20,Lausanne
Ballens,20,Lausanne
Ballwil,3,Luzern
Balm bei Günsberg,6,Solothurn
Balsthal,6,Solothurn
Baltschieder,7,Sion
Bangerten,5,Bern
Bannwil,6,Solothurn
Barberêche,17,Fribourg
Bardonnex,8,Genève
